order_id,order_date,customer_id,country,state,city,product_category,product_id,quantity,unit_price,discount,total_amount,payment_method,is_first_purchase,channel,status,ship_date,shipping_cost
100015,2025-06-10,1105,IN,TN,Coimbatore,electronics,675,6,142.65,0.05,813.1,debit_card,False,store,completed,2025-06-16,21.43
100016,2024-12-09,1881,UK,England,Birmingham,beauty,634,6,479.74,0.1,2590.6,credit_card,False,store,shipped,2024-12-12,19.0
100017,2024-03-26,1066,DE,SN,Dresden,toys,520,5,355.1,0.3,1242.85,credit_card,False,mobile,shipped,2024-03-29,17.58
100018,2025-07-16,1475,US,FL,Orlando,sports,320,3,494.03,0.25,1111.57,credit_card,False,marketplace,completed,2025-07-22,0.25
100019,2024-10-28,1594,US,MA,Worcester,electronics,352,10,485.77,0.1,4371.93,paypal,True,store,processing,2024-10-31,15.65
100020,2024-12-01,1357,US,IL,Springfield,electronics,770,5,459.86,0.05,2184.34,paypal,True,web,completed,2024-12-07,3.01
100021,2024-09-05,1146,US,FL,Tampa,toys,162,7,378.91,0.1,2387.13,credit_card,False,marketplace,completed,2024-09-07,1.47
100022,2024-05-02,1192,BR,RS,Caxias do Sul,sports,175,1,306.67,0.15,260.67,cash,False,web,completed,2024-05-03,3.91
100023,2025-09-12,1824,IN,TN,Madurai,apparel,456,3,90.22,0.15,230.06,bank_transfer,False,store,processing,2025-09-15,20.58
100024,2025-06-07,1318,IN,TN,Coimbatore,beauty,796,9,273.96,0.05,2342.36,credit_card,False,mobile,cancelled,2025-06-12,18.6
100025,2025-03-07,1310,US,MA,Worcester,sports,690,1,383.86,0.0,383.86,cash,False,store,shipped,2025-03-09,23.72
100026,2024-09-26,1923,US,CA,Los Angeles,sports,630,2,262.82,0.15,446.79,credit_card,True,marketplace,returned,2024-09-28,24.47
100027,2025-07-05,1143,CA,AB,Calgary,toys,580,9,434.78,0.25,2934.76,paypal,False,store,processing,2025-07-11,22.33
100028,2024-12-31,1915,DE,SN,Dresden,beauty,199,4,59.28,0.05,225.26,paypal,False,store,processing,2025-01-04,3.32
100029,2024-10-24,1920,UK,N. Ireland,Lisburn,toys,398,3,193.57,0.1,522.64,paypal,False,marketplace,processing,2024-10-28,21.96
100030,2024-10-28,1598,DE,HE,Frankfurt,beauty,171,6,255.45,0.05,1456.06,cash,False,store,completed,2024-10-30,20.97
100031,2024-06-01,1165,CA,QC,Montreal,toys,781,2,219.0,0.05,416.1,cash,False,marketplace,shipped,2024-06-02,21.78
100032,2024-03-02,1155,IN,MH,Nagpur,toys,775,1,58.75,0.2,47.0,debit_card,False,mobile,shipped,2024-03-03,3.79
100033,2025-01-06,1284,UK,N. Ireland,Derry,apparel,332,1,81.0,0.1,72.9,paypal,False,web,shipped,2025-01-11,2.92
100034,2025-08-17,1577,US,CA,Los Angeles,toys,363,1,419.62,0.05,398.64,cash,False,web,completed,2025-08-18,23.1
100035,2024-02-12,1153,IN,GJ,Ahmedabad,beauty,385,2,244.77,0.3,342.68,bank_transfer,False,store,shipped,2024-02-14,4.35
100036,2025-07-29,1455,BR,MG,Belo Horizonte,sports,899,7,29.12,0.05,193.65,cash,False,store,returned,2025-08-05,9.22
100037,2025-07-08,1115,US,FL,Tampa,toys,539,3,13.16,0.05,37.51,paypal,False,web,completed,2025-07-11,11.4
100038,2024-07-04,1540,DE,BY,Nuremberg,electronics,785,1,239.37,0.3,167.56,debit_card,False,web,returned,2024-07-10,3.11
100039,2025-02-27,1021,IN,DL,New Delhi,toys,503,1,86.37,0.15,73.41,paypal,False,marketplace,completed,2025-03-02,0.52
100040,2024-04-20,1709,AU,WA,Perth,home,727,5,354.04,0.0,1770.2,cash,False,store,completed,2024-04-27,24.85
100041,2025-05-22,1055,IN,DL,Delhi,electronics,574,9,398.69,0.1,3229.39,cash,True,marketplace,completed,2025-05-28,21.92
100042,2025-04-14,1194,UK,N. Ireland,Belfast,electronics,350,4,118.01,0.15,401.23,bank_transfer,False,web,shipped,2025-04-18,22.81
100043,2024-08-25,1174,UK,Scotland,Glasgow,toys,887,1,298.13,0.05,283.22,bank_transfer,False,web,shipped,2024-08-30,7.11
100044,2024-02-15,1830,AU,WA,Fremantle,sports,737,3,81.45,0.15,207.7,paypal,True,mobile,completed,2024-02-18,5.5
100045,2025-10-12,1053,CA,ON,Mississauga,toys,791,5,155.27,0.2,621.08,debit_card,False,marketplace,shipped,2025-10-19,10.65
100046,2024-10-25,1429,CA,AB,Edmonton,apparel,952,2,444.95,0.05,845.4,paypal,True,store,completed,2024-10-28,11.33
100047,2025-08-21,1591,AU,NSW,Wollongong,electronics,323,10,274.33,0.25,2057.48,paypal,True,marketplace,completed,2025-08-27,0.14
100048,2025-03-30,1515,AU,QLD,Gold Coast,beauty,182,8,443.51,0.15,3015.87,cash,False,mobile,processing,2025-04-04,19.48
100049,2025-06-05,1680,US,IL,Chicago,electronics,623,4,116.5,0.3,326.2,paypal,False,mobile,shipped,2025-06-10,24.92
100050,2025-05-24,1803,DE,BY,Augsburg,sports,393,10,168.36,0.0,1683.6,bank_transfer,False,store,shipped,2025-05-27,13.22
100051,2024-05-10,1393,UK,Wales,Swansea,beauty,491,4,238.12,0.1,857.23,credit_card,False,marketplace,shipped,2024-05-16,9.71
100052,2024-08-31,1828,DE,HE,Frankfurt,sports,310,2,242.64,0.25,363.96,bank_transfer,False,mobile,returned,2024-09-06,9.82
100053,2024-11-08,1317,BR,BA,Vitória da Conquista,home,458,10,498.84,0.3,3491.88,paypal,False,store,completed,2024-11-14,2.4
100054,2024-11-29,1984,US,IL,Naperville,electronics,453,10,61.65,0.05,585.67,cash,False,marketplace,completed,2024-12-05,6.65
100055,2024-01-30,1504,BR,RJ,Rio de Janeiro,home,415,4,426.72,0.3,1194.82,paypal,False,mobile,completed,2024-02-01,12.55
100056,2025-01-01,1736,DE,SN,Chemnitz,beauty,767,6,432.52,0.05,2465.36,paypal,True,marketplace,shipped,2025-01-08,10.8
100057,2024-04-13,1875,IN,DL,New Delhi,home,632,2,278.83,0.1,501.89,credit_card,False,store,shipped,2024-04-19,13.63
100058,2025-05-13,1792,UK,England,Birmingham,sports,526,7,175.3,0.1,1104.39,cash,True,marketplace,shipped,2025-05-15,21.23
100059,2025-04-02,1851,UK,Wales,Cardiff,electronics,201,7,262.02,0.1,1650.73,bank_transfer,False,mobile,completed,2025-04-09,5.63
100060,2025-09-10,1536,IN,MH,Pune,electronics,613,8,149.77,0.3,838.71,cash,False,store,completed,2025-09-14,0.69
100061,2025-05-13,1043,AU,QLD,Gold Coast,home,257,6,400.56,0.25,1802.52,credit_card,False,mobile,shipped,2025-05-16,0.96
100062,2024-09-02,1493,CA,ON,Ottawa,beauty,382,8,251.65,0.25,1509.9,debit_card,False,store,returned,2024-09-04,3.35
100063,2025-10-10,1181,AU,NSW,Newcastle,toys,473,6,463.29,0.05,2640.75,cash,False,mobile,completed,2025-10-13,14.26
100064,2024-10-02,1889,IN,KA,Mysuru,apparel,227,9,313.23,0.3,1973.35,credit_card,True,store,completed,2024-10-03,20.2
100065,2024-08-06,1236,UK,Wales,Swansea,toys,450,2,259.59,0.15,441.3,paypal,False,marketplace,completed,2024-08-11,22.17
100066,2025-08-29,1228,BR,BA,Vitória da Conquista,toys,339,5,356.98,0.2,1427.92,paypal,False,mobile,completed,2025-09-03,15.88
100067,2024-09-05,1249,AU,VIC,Geelong,toys,863,5,254.45,0.2,1017.8,cash,False,mobile,completed,2024-09-10,10.08
100068,2024-02-21,1642,UK,England,London,toys,872,6,452.73,0.2,2173.1,cash,False,mobile,completed,2024-02-25,3.86
100069,2024-11-10,1571,US,IL,Chicago,electronics,104,2,96.3,0.2,154.08,cash,False,store,shipped,2024-11-13,10.04
100070,2025-06-17,1948,AU,WA,Bunbury,home,641,4,486.81,0.15,1655.15,debit_card,True,store,completed,2025-06-23,8.31
100071,2024-05-06,1416,CA,QC,Laval,toys,675,10,407.03,0.2,3256.24,paypal,False,store,completed,2024-05-13,21.75
100072,2024-11-06,1282,IN,TN,Coimbatore,electronics,439,2,431.06,0.3,603.48,bank_transfer,False,web,completed,2024-11-07,12.17
100073,2024-03-28,1049,DE,HE,Frankfurt,apparel,521,7,244.04,0.1,1537.45,cash,True,web,cancelled,2024-03-31,5.65
100074,2025-04-04,1007,DE,HE,Darmstadt,electronics,810,7,419.41,0.15,2495.49,credit_card,False,web,completed,2025-04-11,7.22
100075,2024-11-14,1373,CA,BC,Vancouver,beauty,439,5,156.85,0.05,745.04,cash,False,marketplace,completed,2024-11-21,3.41
100076,2024-08-09,1925,AU,QLD,Gold Coast,electronics,157,1,382.16,0.1,343.94,debit_card,False,marketplace,completed,2024-08-16,22.96
100077,2024-06-01,1523,CA,QC,Montreal,electronics,434,1,74.52,0.25,55.89,credit_card,False,web,shipped,2024-06-03,1.26
100078,2025-01-13,1893,UK,N. Ireland,Belfast,toys,328,3,156.99,0.2,376.78,bank_transfer,True,web,processing,2025-01-17,0.32
100079,2025-03-24,1101,IN,DL,New Delhi,home,444,2,225.64,0.05,428.72,bank_transfer,False,marketplace,completed,2025-03-25,4.57
100080,2025-09-22,1093,BR,RS,Caxias do Sul,apparel,306,1,164.55,0.15,139.87,credit_card,False,store,completed,2025-09-29,20.27
100081,2024-10-19,1833,BR,RJ,Rio de Janeiro,home,234,2,196.57,0.25,294.86,credit_card,True,mobile,completed,2024-10-23,13.09
100082,2024-04-17,1106,BR,BA,Feira de Santana,home,985,2,410.95,0.0,821.9,cash,False,store,shipped,2024-04-19,15.65
100083,2025-07-11,1051,DE,BY,Munich,beauty,215,9,132.05,0.0,1188.45,cash,True,web,cancelled,2025-07-12,8.94
100084,2025-02-25,1404,CA,ON,Ottawa,beauty,734,7,373.91,0.1,2355.63,credit_card,False,web,completed,2025-03-03,1.72
100085,2025-04-14,1924,IN,GJ,Surat,home,745,1,41.49,0.2,33.19,cash,True,mobile,completed,2025-04-20,21.4
100086,2024-03-06,1689,IN,MH,Pune,beauty,655,7,384.04,0.1,2419.45,cash,False,marketplace,shipped,2024-03-13,4.8
100087,2024-07-28,1099,BR,RJ,Petropolis,beauty,919,2,397.05,0.25,595.58,cash,False,marketplace,shipped,2024-08-04,0.83
100088,2025-05-29,1837,AU,WA,Perth,toys,104,5,203.84,0.25,764.4,debit_card,False,web,completed,2025-06-04,14.32
100089,2025-07-11,1843,US,FL,Miami,toys,371,1,362.63,0.15,308.24,paypal,False,store,completed,2025-07-17,2.08
100090,2024-10-18,1800,DE,NW,Düsseldorf,sports,265,1,457.99,0.1,412.19,cash,False,marketplace,completed,2024-10-24,2.39
100091,2025-06-23,1902,DE,HE,Darmstadt,apparel,618,2,401.35,0.0,802.7,cash,False,marketplace,shipped,2025-06-30,20.01
100092,2025-07-17,1239,IN,GJ,Surat,apparel,671,5,198.27,0.25,743.51,bank_transfer,False,marketplace,shipped,2025-07-21,12.29
100093,2024-09-16,1979,UK,Wales,Cardiff,toys,907,5,244.69,0.3,856.42,credit_card,False,web,shipped,2024-09-22,6.04
100094,2025-08-24,1320,UK,N. Ireland,Lisburn,sports,441,4,390.78,0.15,1328.65,credit_card,False,web,processing,2025-08-30,8.72
100095,2024-07-12,1802,US,MA,Cambridge,beauty,312,7,149.83,0.15,891.49,debit_card,False,web,completed,2024-07-13,18.23
100096,2024-06-09,1579,IN,KA,Bengaluru,electronics,930,8,402.92,0.25,2417.52,credit_card,False,web,completed,2024-06-14,1.66
100097,2025-04-02,1779,IN,TN,Coimbatore,apparel,705,8,167.4,0.2,1071.36,credit_card,False,web,completed,2025-04-05,2.91
100098,2025-03-02,1627,US,TX,Dallas,beauty,787,6,403.97,0.0,2423.82,credit_card,False,mobile,processing,2025-03-03,15.41
100099,2024-04-03,1642,DE,NW,Dortmund,home,500,6,47.97,0.2,230.26,bank_transfer,False,store,shipped,2024-04-05,15.17
100100,2025-07-11,1616,DE,NW,Cologne,sports,502,5,26.98,0.3,94.43,paypal,False,mobile,completed,2025-07-12,24.31
100101,2024-05-13,1778,DE,HE,Wiesbaden,beauty,449,3,498.85,0.25,1122.41,paypal,False,mobile,completed,2024-05-20,9.36
100102,2025-06-23,1739,BR,BA,Feira de Santana,sports,773,5,435.38,0.15,1850.36,cash,False,web,shipped,2025-06-29,1.63
100103,2024-01-05,1134,CA,ON,Toronto,electronics,289,1,442.01,0.15,375.71,paypal,True,web,shipped,2024-01-06,13.44
100104,2025-06-17,1826,UK,Wales,Swansea,toys,976,10,475.88,0.05,4520.86,paypal,False,marketplace,shipped,2025-06-22,15.96
100105,2025-06-11,1536,CA,ON,Toronto,toys,258,4,221.97,0.2,710.3,debit_card,False,store,completed,2025-06-16,3.49
100106,2025-06-06,1323,CA,ON,Ottawa,toys,514,8,146.98,0.05,1117.05,paypal,False,web,cancelled,2025-06-10,13.82
100107,2025-03-21,1514,BR,RS,Pelotas,sports,382,10,69.36,0.1,624.24,credit_card,False,marketplace,shipped,2025-03-26,4.94
100108,2024-11-11,1966,BR,SP,Santos,apparel,677,5,253.1,0.05,1202.22,paypal,False,marketplace,shipped,2024-11-18,21.12
100109,2025-04-17,1857,US,WA,Perth,toys,711,9,113.92,0.1,922.75,cash,False,marketplace,shipped,2025-04-21,20.88
100110,2024-07-04,1833,AU,NSW,Sydney,beauty,925,5,468.1,0.1,2106.45,paypal,False,web,cancelled,2024-07-09,10.74
100111,2025-06-07,1462,CA,QC,Quebec City,beauty,809,2,6.98,0.0,13.96,debit_card,False,store,cancelled,2025-06-11,24.17
100112,2025-01-07,1784,CA,AB,Red Deer,beauty,323,1,75.88,0.25,56.91,bank_transfer,False,marketplace,shipped,2025-01-10,24.49
100113,2024-11-03,1385,UK,Wales,Newport,apparel,285,2,127.01,0.15,215.92,cash,False,marketplace,completed,2024-11-10,3.23
100114,2024-12-04,1686,CA,AB,Calgary,sports,897,10,103.48,0.3,724.36,paypal,True,web,completed,2024-12-07,9.19
100115,2025-01-16,1639,DE,NW,Cologne,electronics,538,5,116.76,0.05,554.61,debit_card,False,marketplace,processing,2025-01-22,15.01
100116,2024-01-25,1249,BR,BA,Salvador,apparel,187,4,329.74,0.2,1055.17,bank_transfer,False,mobile,shipped,2024-01-30,2.12
100117,2024-04-03,1266,AU,WA,Perth,toys,841,5,167.12,0.05,793.82,credit_card,False,mobile,completed,2024-04-08,9.57
100118,2024-06-13,1061,IN,GJ,Surat,electronics,682,3,309.44,0.15,789.07,cash,False,store,completed,2024-06-19,6.53
100119,2024-03-17,1139,DE,BE,Berlin,apparel,122,9,445.68,0.15,3409.45,debit_card,False,marketplace,cancelled,2024-03-23,23.8
100120,2024-10-21,1433,US,TX,San Antonio,toys,803,10,303.27,0.15,2577.79,debit_card,False,web,processing,2024-10-25,10.29
100121,2025-03-23,1477,US,IL,Chicago,toys,646,1,348.79,0.2,279.03,bank_transfer,False,store,returned,2025-03-28,19.07
100122,2025-03-14,1165,CA,QC,Laval,electronics,652,8,185.92,0.25,1115.52,credit_card,True,marketplace,completed,2025-03-18,9.67
100123,2024-11-11,1416,CA,AB,Edmonton,home,877,4,84.07,0.1,302.65,debit_card,False,store,shipped,2024-11-14,3.3
100124,2025-07-26,1604,IN,DL,New Delhi,home,545,1,163.69,0.25,122.77,credit_card,False,mobile,processing,2025-08-01,21.58
100125,2025-01-13,1232,IN,MH,Nagpur,toys,514,10,482.32,0.05,4582.04,debit_card,False,web,completed,2025-01-20,0.01
100126,2024-02-23,1338,IN,GJ,Ahmedabad,home,654,1,312.8,0.1,281.52,paypal,False,store,completed,2024-02-28,1.4
100127,2025-05-27,1367,AU,VIC,Ballarat,toys,277,3,142.37,0.1,384.4,credit_card,False,store,returned,2025-06-02,9.11
100128,2025-01-19,1505,DE,HE,Frankfurt,beauty,236,1,228.2,0.3,159.74,debit_card,False,store,completed,2025-01-25,17.17
100129,2025-03-01,1366,AU,WA,Fremantle,beauty,858,5,418.58,0.0,2092.9,bank_transfer,False,marketplace,shipped,2025-03-04,8.54
100130,2025-01-13,1736,UK,N. Ireland,Lisburn,home,293,6,335.88,0.1,1813.75,cash,True,store,shipped,2025-01-14,1.66
100131,2025-01-05,1327,AU,WA,Fremantle,sports,553,4,282.52,0.1,1017.07,credit_card,False,store,shipped,2025-01-08,7.95
100132,2024-03-01,1433,IN,DL,Delhi,electronics,342,1,443.16,0.25,332.37,bank_transfer,False,web,completed,2024-03-07,6.12
100133,2025-01-09,1379,IN,TN,Coimbatore,electronics,307,2,337.86,0.15,574.36,credit_card,False,store,shipped,2025-01-15,0.14
100134,2025-06-16,1182,AU,NSW,Newcastle,electronics,637,10,323.15,0.3,2262.05,paypal,True,web,completed,2025-06-20,13.37
100135,2024-07-22,1685,US,MA,Boston,home,821,9,98.94,0.25,667.84,cash,False,store,processing,2024-07-28,2.92
100136,2025-02-07,1235,IN,GJ,Vadodara,sports,497,10,57.66,0.2,461.28,bank_transfer,False,web,completed,2025-02-08,7.19
100137,2024-01-21,1296,UK,England,London,home,224,6,482.75,0.25,2172.38,debit_card,False,marketplace,shipped,2024-01-26,16.03
100138,2024-08-20,1792,IN,MH,Pune,beauty,319,6,301.43,0.05,1718.15,debit_card,False,mobile,shipped,2024-08-25,18.13
100139,2024-10-19,1948,DE,BE,Berlin,apparel,247,8,210.76,0.15,1433.17,bank_transfer,False,mobile,completed,2024-10-23,6.59
100140,2025-10-20,1670,BR,RJ,Niterói,electronics,893,7,296.57,0.2,1660.79,cash,False,web,completed,2025-10-26,8.23
100141,2024-05-23,1916,UK,Scotland,Edinburgh,apparel,387,5,35.6,0.05,169.1,debit_card,True,web,shipped,2024-05-27,6.17
100142,2024-07-04,1854,BR,RS,Pelotas,electronics,436,3,411.95,0.0,1235.85,credit_card,False,marketplace,completed,2024-07-08,23.92
100143,2024-09-30,1480,IN,KA,Mysuru,apparel,163,5,112.24,0.0,561.2,paypal,False,mobile,completed,2024-10-05,4.76
100144,2025-10-27,1770,UK,England,London,toys,500,1,403.25,0.25,302.44,bank_transfer,True,store,shipped,2025-11-02,4.58
100145,2025-07-25,1328,DE,BY,Nuremberg,toys,921,2,269.52,0.2,431.23,paypal,False,marketplace,cancelled,2025-07-27,11.13
100146,2024-01-24,1460,DE,NW,Düsseldorf,home,468,8,141.9,0.05,1078.44,cash,False,store,shipped,2024-01-27,4.73
100147,2024-06-05,1535,IN,GJ,Surat,beauty,685,9,19.95,0.25,134.66,cash,True,web,completed,2024-06-08,3.92
100148,2025-07-04,1960,AU,VIC,Ballarat,toys,263,2,408.84,0.2,654.14,bank_transfer,False,mobile,returned,2025-07-06,2.4
100149,2024-02-09,1848,IN,KA,Mysuru,home,228,1,92.35,0.25,69.26,credit_card,True,mobile,shipped,2024-02-12,16.0
100150,2025-07-27,1489,UK,England,Birmingham,apparel,757,1,30.64,0.3,21.45,cash,False,mobile,completed,2025-07-30,15.3
100151,2024-07-07,1652,DE,BE,Berlin,electronics,159,8,379.16,0.3,2123.3,bank_transfer,False,web,completed,2024-07-10,16.25
100152,2025-09-06,1202,DE,HE,Wiesbaden,sports,503,4,178.27,0.05,677.43,debit_card,False,store,completed,2025-09-09,19.33
100153,2024-07-15,1804,BR,MG,Uberlândia,beauty,384,4,197.72,0.25,593.16,paypal,False,mobile,completed,2024-07-19,8.16
100154,2024-10-17,1553,UK,Scotland,Edinburgh,home,114,1,127.3,0.1,114.57,cash,False,mobile,shipped,2024-10-22,22.96
100155,2025-03-19,1532,AU,VIC,Geelong,beauty,577,10,430.29,0.1,3872.61,cash,False,mobile,completed,2025-03-22,18.33
100156,2024-03-25,1766,US,WA,Perth,beauty,966,5,152.18,0.2,608.72,paypal,False,mobile,shipped,2024-03-31,20.12
100157,2025-01-08,1632,IN,TN,Madurai,toys,162,8,109.05,0.2,697.92,credit_card,False,web,completed,2025-01-12,18.02
100158,2024-12-04,1072,UK,Wales,Newport,electronics,833,8,158.08,0.1,1138.18,bank_transfer,True,mobile,completed,2024-12-10,8.96
100159,2025-06-09,1288,UK,Wales,Newport,sports,584,2,105.56,0.3,147.78,bank_transfer,True,marketplace,completed,2025-06-10,7.08
100160,2025-10-29,1176,AU,SA,Whyalla,sports,750,9,162.24,0.05,1387.15,credit_card,False,store,shipped,2025-10-31,10.56
100161,2025-03-21,1734,DE,SN,Dresden,sports,186,6,46.05,0.0,276.3,cash,False,store,shipped,2025-03-25,2.43
100162,2024-10-01,1035,IN,GJ,Ahmedabad,sports,881,7,83.47,0.0,584.29,debit_card,False,marketplace,completed,2024-10-04,11.28
100163,2024-09-29,1202,DE,BE,Berlin,sports,110,3,211.44,0.25,475.74,cash,True,store,completed,2024-10-03,1.08
100164,2024-10-07,1597,DE,SN,Chemnitz,beauty,915,9,440.34,0.1,3566.75,paypal,False,web,completed,2024-10-09,0.1
100165,2025-06-29,1694,US,WA,Fremantle,electronics,691,10,33.36,0.15,283.56,debit_card,True,mobile,processing,2025-07-03,23.29
100166,2024-08-03,1503,US,NY,New York,apparel,403,5,110.27,0.2,441.08,credit_card,False,mobile,completed,2024-08-08,17.23
100167,2024-04-21,1860,UK,N. Ireland,Belfast,home,106,1,454.63,0.15,386.44,credit_card,False,mobile,shipped,2024-04-27,14.05
100168,2024-08-11,1918,BR,RJ,Petropolis,home,649,9,445.56,0.2,3208.03,bank_transfer,False,web,completed,2024-08-13,8.53
100169,2024-01-16,1132,BR,BA,Feira de Santana,beauty,178,9,341.33,0.0,3071.97,debit_card,True,web,completed,2024-01-19,14.26
100170,2024-03-12,1952,AU,SA,Adelaide,beauty,647,6,124.03,0.05,706.97,cash,False,mobile,shipped,2024-03-16,22.29
100171,2024-03-01,1614,AU,WA,Bunbury,toys,795,6,212.81,0.3,893.8,debit_card,False,marketplace,shipped,2024-03-05,16.31
100172,2025-05-31,1636,UK,Wales,Cardiff,beauty,340,3,109.55,0.15,279.35,cash,False,store,completed,2025-06-06,15.06
100173,2025-04-28,1095,CA,AB,Edmonton,electronics,314,1,68.65,0.05,65.22,cash,False,marketplace,returned,2025-05-01,11.51
100174,2025-04-11,1621,US,FL,Miami,home,299,10,193.1,0.1,1737.9,credit_card,False,web,completed,2025-04-16,8.64
100175,2024-11-05,1725,UK,England,Manchester,sports,302,5,290.03,0.1,1305.14,bank_transfer,False,mobile,completed,2024-11-12,17.46
100176,2025-04-25,1580,UK,Scotland,Glasgow,apparel,202,3,183.17,0.05,522.03,cash,True,store,completed,2025-04-28,24.52
100177,2024-04-18,1084,CA,ON,Mississauga,toys,324,7,307.36,0.1,1936.37,debit_card,False,mobile,shipped,2024-04-24,10.62
100178,2025-08-26,1523,CA,AB,Edmonton,apparel,692,1,151.65,0.25,113.74,credit_card,True,mobile,shipped,2025-08-29,9.81
100179,2024-12-01,1935,US,FL,Miami,home,371,1,176.2,0.0,176.2,cash,False,mobile,completed,2024-12-04,10.7
100180,2025-09-20,1723,AU,VIC,Melbourne,beauty,802,3,396.38,0.1,1070.23,paypal,False,web,cancelled,2025-09-25,10.64
100181,2024-04-12,1137,BR,RS,Porto Alegre,beauty,836,5,439.77,0.15,1869.02,credit_card,True,marketplace,shipped,2024-04-17,24.77
100182,2024-11-29,1959,AU,VIC,Geelong,beauty,784,4,164.41,0.15,558.99,cash,True,marketplace,returned,2024-12-03,17.67
100183,2025-04-11,1958,DE,SN,Dresden,apparel,585,2,287.9,0.3,403.06,bank_transfer,True,web,processing,2025-04-13,8.98
100184,2024-11-28,1169,UK,N. Ireland,Derry,toys,384,4,142.69,0.3,399.53,credit_card,True,mobile,cancelled,2024-11-29,9.29
100185,2024-10-25,1800,UK,Wales,Newport,sports,935,4,31.4,0.1,113.04,debit_card,False,store,shipped,2024-11-01,10.77
100186,2024-04-21,1406,US,MA,Worcester,toys,284,6,370.24,0.15,1888.22,credit_card,False,marketplace,completed,2024-04-28,0.92
100187,2024-09-12,1593,AU,SA,Mount Gambier,apparel,517,6,89.65,0.0,537.9,cash,True,marketplace,completed,2024-09-19,13.2
100188,2024-06-08,1445,DE,HE,Darmstadt,home,507,9,215.73,0.2,1553.26,credit_card,False,mobile,shipped,2024-06-12,20.28
100189,2024-07-21,1782,US,MA,Worcester,toys,770,9,246.09,0.05,2104.07,bank_transfer,False,store,completed,2024-07-28,16.51
100190,2025-04-03,1996,UK,Scotland,Glasgow,apparel,591,3,96.31,0.0,288.93,paypal,False,marketplace,shipped,2025-04-07,4.96
100191,2025-02-26,1795,CA,ON,Mississauga,toys,818,10,51.8,0.2,414.4,paypal,False,marketplace,completed,2025-02-27,18.2
100192,2025-02-10,1931,CA,QC,Montreal,electronics,926,6,177.27,0.05,1010.44,cash,False,mobile,processing,2025-02-12,17.99
100193,2024-08-30,1946,AU,NSW,Wollongong,home,451,2,476.38,0.15,809.85,cash,False,marketplace,completed,2024-09-01,6.56
100194,2025-10-04,1090,DE,SN,Dresden,beauty,886,4,309.49,0.0,1237.96,credit_card,False,mobile,cancelled,2025-10-07,15.57
100195,2024-02-28,1253,AU,VIC,Ballarat,apparel,252,8,193.8,0.25,1162.8,credit_card,False,web,completed,2024-03-06,15.27
100196,2024-08-17,1721,AU,WA,Bunbury,apparel,923,9,24.26,0.25,163.76,credit_card,False,marketplace,completed,2024-08-20,20.99
100197,2024-03-20,1590,BR,SP,Campinas,toys,260,4,302.14,0.2,966.85,bank_transfer,False,marketplace,processing,2024-03-25,3.4
100198,2024-08-15,1050,IN,KA,Bengaluru,apparel,864,2,50.67,0.25,76.0,paypal,False,mobile,processing,2024-08-17,4.87
100199,2025-10-06,1095,AU,WA,Fremantle,beauty,450,2,273.56,0.15,465.05,credit_card,False,mobile,shipped,2025-10-11,12.15
